filename,rmse,function
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,272.21,rmse_lin
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,268.94,rmse_log
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,268.22,rmse_exp
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,254.94,rmse_sig
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,258.01,rmse_lin
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,257.8,rmse_log
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,258.34,rmse_exp
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run21_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run22_down_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
