,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
40,RIGHT,b'swing0003',b'swing0004',b'swing0002',b'stance0003',b'swing0005',b'stance0005',b'swing0004',b'stance0003',4.111977548272706,2.653134103981821,7.814673304243659,6.3883897330248915,3.243205891105542,6.641731279519737,5.774017159747591,7.599519221624697,ext,ext,flex,flex,flex,flex,ext,ext,0.006625575113392787
41,RIGHT,b'swing0003',b'swing0004',b'swing0002',b'stance0003',b'swing0005',b'stance0005',b'swing0004',b'stance0003',5.087830441229925,1.852765629638848,6.870142736109534,6.330809614479479,4.078423852044758,5.725706259582929,6.312381374013325,7.754133156384818,ext,flex,flex,flex,ext,flex,ext,ext,0.007825255082954716
42,RIGHT,b'swing0003',b'swing0004',b'swing0002',b'stance0003',b'stance0006',b'stance0005',b'swing0004',b'swing0004',4.88770302907738,6.039682169387729,6.621669566389519,7.126591304549232,4.68314384763497,6.903592868742478,5.744311904951968,6.548559313745187,flex,ext,flex,ext,ext,ext,flex,flex,0.007366472981817054
43,RIGHT,b'swing0003',b'stance0004',b'swing0002',b'stance0003',b'stance0006',b'swing0005',b'swing0004',b'swing0004',4.316978531263623,5.071197338738625,6.642781098689104,7.528362988812747,5.764487497658471,5.785614287490742,6.731468856821731,6.767099630302436,flex,flex,ext,ext,ext,flex,ext,ext,0.006644405452408715
44,RIGHT,b'swing0003',b'stance0004',b'stance0003',b'stance0003',b'stance0006',b'swing0005',b'stance0005',b'swing0004',6.221784834925993,3.013614500014187,7.51943104067488,6.322814086871491,5.684054184522137,4.851900821742828,6.486796936865289,6.958285508389129,ext,flex,ext,flex,flex,flex,flex,ext,0.006815721131295301
45,RIGHT,b'swing0003',b'stance0004',b'stance0003',b'swing0004',b'stance0006',b'swing0005',b'stance0005',b'swing0004',5.361624538653116,2.6371748039798435,6.605152763251015,7.558928725904255,4.671003510149575,5.6943669918891935,6.114561578001592,5.136827869612857,flex,flex,flex,ext,flex,ext,flex,flex,0.007801983394019584
46,RIGHT,b'stance0004',b'stance0004',b'stance0003',b'stance0004',b'stance0006',b'swing0005',b'stance0005',b'swing0004',6.173822946953202,3.044592864784897,5.99692491609016,10.081401512447608,3.9394224163361344,5.60716951214352,7.084895756361788,5.404094452152702,ext,ext,flex,ext,flex,flex,ext,ext,0.00895533788367494
47,RIGHT,b'stance0004',b'swing0005',b'stance0003',b'stance0004',b'stance0006',b'swing0005',b'stance0005',b'swing0004',5.059258616786457,2.4043402100315627,6.87948494599591,10.36879756180336,3.9042014387335375,6.598852019499697,5.200346440392733,4.997948061144643,flex,flex,ext,ext,flex,ext,flex,flex,0.007592144437912652
48,RIGHT,b'stance0004',b'swing0005',b'stance0003',b'stance0004',b'stance0006',b'swing0005',b'stance0005',b'swing0004',5.064613175017499,1.7149447008131764,7.198300965255578,10.075609612485657,3.4570355860023363,6.54026194069151,4.986807079590027,4.50295405734178,ext,flex,ext,flex,flex,flex,flex,flex,0.008684148455461007
49,RIGHT,b'stance0004',b'swing0005',b'stance0003',b'swing0005',b'swing0006',b'stance0006',b'stance0005',b'stance0004',4.784208087488538,1.7723828326466398,7.16409004954102,9.15704957314606,2.3939543131964793,8.085100651240573,4.763444659543626,4.352754329708426,flex,ext,flex,flex,flex,ext,flex,flex,0.006114460316749963
50,RIGHT,b'stance0004',b'swing0005',b'stance0003',b'swing0005',b'swing0006',b'stance0006',b'stance0005',b'stance0004',5.099263478732486,2.1893289766939326,6.9021958977995945,7.664809382882695,3.498566430162734,6.751711093165019,,4.296211883591632,ext,ext,flex,flex,ext,flex,,flex,0.00977801844706542
51,RIGHT,b'swing0004',b'swing0005',b'swing0003',b'swing0005',b'swing0006',b'stance0006',b'stance0005',b'stance0004',5.555898023637716,1.819317497494499,6.590375944562162,7.930844445101028,2.45535166621157,5.725825345923001,,5.186778723302611,ext,flex,flex,ext,flex,flex,,ext,0.008490891284758013
